,equity
0,10000.0
1,10000.0
2,10000.0
3,10000.0
4,10000.0
5,10000.0
6,10000.0
7,10000.0
8,10000.0
9,10000.0
10,10000.0
11,10000.0
12,10000.0
13,10000.0
14,10000.0
15,10000.0
16,10000.0
17,10000.0
18,10000.0
19,10000.0
20,10000.0
21,10000.0
22,10000.0
23,10000.0
24,10000.0
25,10000.0
26,10000.0
27,10000.0
28,10000.0
29,10000.0
30,10000.0
31,10000.0
32,10000.0
33,10000.0
34,10000.0
35,10000.0
36,10000.0
37,10000.0
38,10000.0
39,10000.0
40,10000.0
41,10000.0
42,10000.0
43,10000.0
44,10000.0
45,10000.0
46,10000.0
47,10000.0
48,10000.0
49,10000.0
50,10000.0
51,10000.0
52,10000.0
53,10000.0
54,10000.0
55,10000.0
56,10000.0
57,10000.0
58,10000.0
59,10000.0
60,10000.0
61,10000.0
62,10000.0
63,10000.0
64,10000.0
65,10000.0
66,10000.0
67,10000.0
68,10000.0
69,10000.0
70,10000.0
71,10000.0
72,10000.0
73,10000.0
74,10000.0
75,10000.0
76,10000.0
77,10000.0
78,10000.0
79,10000.0
80,10000.0
81,10000.0
82,10000.0
83,10000.0
84,10000.0
85,10000.0
86,10000.0
87,10000.0
88,10000.0
89,10000.0
90,10000.0
91,10000.0
92,10000.0
93,10000.0
94,10000.0
95,10000.0
96,10000.0
97,10000.0
98,10000.0
99,10000.0
100,10000.0
101,10000.0
102,9999.999799959993
103,10000.000205809552
104,10000.003495814359
105,10000.003031324937
106,9999.999330841109
107,9999.999767553752
108,9999.999019123954
109,9999.99868117318
110,10000.00805120563
111,10000.011538091303
112,10000.011538091303
113,10000.011338051296
114,10000.010008728375
115,10000.008833869033
116,10000.011774917983
117,10000.01197306823
118,10000.018668050216
119,10000.018307635199
120,10000.018764784982
121,10000.020108150045
122,10000.026176351701
123,9999.984790384737
124,9999.614938209996
125,9999.441969256706
126,9999.080634492542
127,10001.26797104768
128,10000.748409002383
129,10000.366763489918
130,10000.21050176507
131,10000.02377391777
132,9999.844253110188
133,10000.421143880534
134,9999.615920988139
135,9999.752199557397
136,10000.381505162073
137,10000.060791894515
138,9999.965790007293
139,9999.713543617077
140,9999.444589998422
141,9999.398399425669
142,9999.752854742826
143,10000.24358862924
144,10000.201329169062
145,9999.876684788931
146,9999.96349685829
147,9999.801338464582
148,9999.984462792021
149,9999.742699368675
150,10000.017549656193
151,10000.113861914275
152,10000.020497990623
153,9999.906495725956
154,9999.795114203005
155,9999.539264292931
156,10000.264882155689
157,10000.769374936115
158,10000.417867953389
159,10000.924981475533
160,10000.8702734922
161,10000.971499641
162,10000.84734200218
163,10000.740546777233
164,9999.541229849217
165,9997.980770146762
166,9997.980770146762
167,9997.980770146762
168,9997.980770146762
169,9997.980770146762
170,9997.980770146762
171,9997.980770146762
172,9997.980770146762
173,9997.980770146762
174,9997.980570106754
175,9997.984735969518
176,9997.985535902151
177,9997.98376362422
178,9997.987538063637
179,9997.98267944368
180,9997.981489640966
181,9997.980576319822
182,9997.982437133987
183,9997.982418494781
184,9997.979774833922
185,9997.980484677055
186,9997.9810469598
187,9997.979905308372
188,9997.979380304041
189,9997.979996951139
190,9997.983459183839
191,9997.988420319434
192,9997.986888797926
193,9997.986539312795
194,9997.983766730755
195,9997.984964299803
196,9997.985809277188
197,9997.985329317607
198,9997.98603294767
199,9997.984330566765
200,9997.984917701786
201,9997.986365346864
202,9997.988487109926
203,9997.987701156699
204,9997.983275898303
205,9997.983713919668
206,9997.960823905278
207,9997.966137432762
208,9997.963947984996
209,9997.965286658491
210,9997.970362335103
211,9997.968520515533
212,9997.96569527409
213,9997.964975622735
214,9997.964280366341
215,9997.960494573303
216,9997.958652753732
217,9997.957542782999
218,9997.952152520118
219,9997.95445772493
220,9997.955116573256
221,9997.952444492346
222,9997.950637627566
223,9997.948567834917
224,9997.941728999993
225,9997.941728999993
226,9997.941529039985
227,9997.942249368105
228,9997.943025106082
229,9997.940102236207
230,9997.942058511937
231,9997.943493011528
232,9997.940861043395
233,9997.942090834353
234,9997.942020032871
235,9997.944462683998
236,9997.948082794554
237,9997.949666592922
238,9997.949974425452
239,9997.950185290736
240,9997.948801583512
241,9997.950203760687
242,9997.950305345423
243,9997.94732552653
244,9997.94818591845
245,9997.94771493468
246,9997.945341545872
247,9997.947113122083
248,9997.948064324602
249,9997.948264415747
250,9997.94924794068
251,9997.952930968679
252,9997.953886109788
253,9997.957443554144
254,9997.957169787584
255,9997.959008586311
256,9997.961178674954
257,9997.930848662798
258,9998.469371061972
259,9998.70438764281
260,9997.985594240596
261,9999.343636321733
262,9998.906663665068
263,9999.669918884903
264,10001.292650124802
265,10000.902340938923
266,10001.638104501551
267,10002.211747285053
268,10002.424874900862
269,10003.515377868413
270,10004.296845793042
271,10004.475743822068
272,10005.027615178758
273,10004.806414547202
274,10005.256789299709
275,10005.256789299709
276,10005.256789299709
277,10005.256789299709
278,10005.256789299709
279,10005.256789299709
280,10005.2565893397
281,10005.25866516164
282,10005.252983506347
283,10005.25527852347
284,10005.25999920385
285,10005.259965816505
286,10005.258013382583
287,10005.255404814734
288,10005.271692420227
289,10005.271692420227
290,10005.271692420227
291,10005.271492460219
292,10005.264681469273
293,10005.261807319584
294,10005.261807319584
295,10005.261807319584
296,10005.261807319584
297,10005.261807319584
298,10005.261807319584
299,10005.261807319584
